templateId	text	templateText
1	Добрый деньип	Рады приветствовать Вас на нашем сайте!
1	Добрый веечер	Рады приветствовать Вас на нашем сайте!
1	Добрый вечер	Рады приветствовать Вас на нашем сайте!
1	Здравствуйте	Рады приветствовать Вас на нашем сайте!
1	Добрый вечкр	Рады приветствовать Вас на нашем сайте!
1	Добрыйф день	Рады приветствовать Вас на нашем сайте!
1	Добрый дщень	Рады приветствовать Вас на нашем сайте!
1	Доброе время	Рады приветствовать Вас на нашем сайте!
1	Добрыцй день	Рады приветствовать Вас на нашем сайте!
1	Добрый деньЁ	Рады приветствовать Вас на нашем сайте!
1	Доброе утрро	Рады приветствовать Вас на нашем сайте!
1	Доброго утра	Рады приветствовать Вас на нашем сайте!
1	Доброе утро1	Рады приветствовать Вас на нашем сайте!
1	Добрый день1	Рады приветствовать Вас на нашем сайте!
1	Добрый вечеп	Рады приветствовать Вас на нашем сайте!
1	Добрый денть	Рады приветствовать Вас на нашем сайте!
1	Доброе уторо	Рады приветствовать Вас на нашем сайте!
1	Добрый деньт	Рады приветствовать Вас на нашем сайте!
1	Добрыйц день	Рады приветствовать Вас на нашем сайте!
1	Добрый день?	Рады приветствовать Вас на нашем сайте!
1	Добрый день/	Рады приветствовать Вас на нашем сайте!
1	Добры й день	Рады приветствовать Вас на нашем сайте!
1	Доброе уутро	Рады приветствовать Вас на нашем сайте!
1	Добрый день 	Рады приветствовать Вас на нашем сайте!
1	Добрый деньэ	Рады приветствовать Вас на нашем сайте!
1	Добрый джень	Рады приветствовать Вас на нашем сайте!
1	Добрыый день	Рады приветствовать Вас на нашем сайте!
1	Добрый деень	Рады приветствовать Вас на нашем сайте!
1	Добрый деньб	Рады приветствовать Вас на нашем сайте!
1	Добрый деньь	Рады приветствовать Вас на нашем сайте!
1	Добрый ждень	Рады приветствовать Вас на нашем сайте!
1	Добрый1 день	Рады приветствовать Вас на нашем сайте!
1	Добрыйвечер1	Рады приветствовать Вас на нашем сайте!
1	Добрый1вечер	Рады приветствовать Вас на нашем сайте!
1	Добрый веечр	Рады приветствовать Вас на нашем сайте!
1	Добрый вдень	Рады приветствовать Вас на нашем сайте!
1	Добрыйпвечер	Рады приветствовать Вас на нашем сайте!
1	Доброе утрор	Рады приветствовать Вас на нашем сайте!
1	Добрвй вечер	Рады приветствовать Вас на нашем сайте!
1	Добрый денгь	Рады приветствовать Вас на нашем сайте!
1	Добрый ддень	Рады приветствовать Вас на нашем сайте!
1	Добрый весер	Рады приветствовать Вас на нашем сайте!
1	Добрый деньй	Рады приветствовать Вас на нашем сайте!
1	Добрый днень	Рады приветствовать Вас на нашем сайте!
1	Добрый ден6ь	Рады приветствовать Вас на нашем сайте!
1	Добрый денья	Рады приветствовать Вас на нашем сайте!
1	Доброле утро	Рады приветствовать Вас на нашем сайте!
1	Добрый денег	Рады приветствовать Вас на нашем сайте!
1	Добрыфй день	Рады приветствовать Вас на нашем сайте!
1	Добрйый день	Рады приветствовать Вас на нашем сайте!
1	Добрый деньЮ	Рады приветствовать Вас на нашем сайте!
1	Доброго дгня	Рады приветствовать Вас на нашем сайте!
1	Добрый депнь	Рады приветствовать Вас на нашем сайте!
1	Добрыйм день	Рады приветствовать Вас на нашем сайте!
1	Добрый вычер	Рады приветствовать Вас на нашем сайте!
1	Добрыйй день	Рады приветствовать Вас на нашем сайте!
1	Добрыйт день	Рады приветствовать Вас на нашем сайте!
1	Добрый декнь	Рады приветствовать Вас на нашем сайте!
1	Добрый дкньЁ	Рады приветствовать Вас на нашем сайте!
1	Добрывй день	Рады приветствовать Вас на нашем сайте!
1	Добры2й день	Рады приветствовать Вас на нашем сайте!
1	Доброго дняУ	Рады приветствовать Вас на нашем сайте!
1	Добрый де6нь	Рады приветствовать Вас на нашем сайте!
1	Добрый дкень	Рады приветствовать Вас на нашем сайте!
1	Добрый деньв	Рады приветствовать Вас на нашем сайте!
1	Добрый веяер	Рады приветствовать Вас на нашем сайте!
1	Добрый2 день	Рады приветствовать Вас на нашем сайте!
1	Доброго дняю	Рады приветствовать Вас на нашем сайте!
1	Добрпый день	Рады приветствовать Вас на нашем сайте!
1	Добрый день0	Рады приветствовать Вас на нашем сайте!
1	Добрый денеь	Рады приветствовать Вас на нашем сайте!
1	Доброго всем	Рады приветствовать Вас на нашем сайте!
1	Доброе утро0	Рады приветствовать Вас на нашем сайте!
1	Добрый дениь	Рады приветствовать Вас на нашем сайте!
1	Добры йвечер	Рады приветствовать Вас на нашем сайте!
1	Добрый вевер	Рады приветствовать Вас на нашем сайте!
1	Добрый деннь	Рады приветствовать Вас на нашем сайте!
1	Добрый вечар	Рады приветствовать Вас на нашем сайте!
1	Доброй вечер	Рады приветствовать Вас на нашем сайте!
1	Добрый день7	Рады приветствовать Вас на нашем сайте!
1	Добрый ыечер	Рады приветствовать Вас на нашем сайте!
1	Доброго дняя	Рады приветствовать Вас на нашем сайте!
1	Добррый день	Рады приветствовать Вас на нашем сайте!
1	Добрый денль	Рады приветствовать Вас на нашем сайте!
1	Добрыйь день	Рады приветствовать Вас на нашем сайте!
1	Добрый дкент	Рады приветствовать Вас на нашем сайте!
1	Добрвый день	Рады приветствовать Вас на нашем сайте!
1	Доброе утроЙ	Рады приветствовать Вас на нашем сайте!
1	Доброый день	Рады приветствовать Вас на нашем сайте!
1	Добрый лдень	Рады приветствовать Вас на нашем сайте!
1	Добрый идень	Рады приветствовать Вас на нашем сайте!
1	Доброе утро	Рады приветствовать Вас на нашем сайте!
1	Добрый день	Рады приветствовать Вас на нашем сайте!
1	Доброго дня	Рады приветствовать Вас на нашем сайте!
1	Добрый дени	Рады приветствовать Вас на нашем сайте!
1	Добры йдень	Рады приветствовать Вас на нашем сайте!
1	Добры вечер	Рады приветствовать Вас на нашем сайте!
1	Доброго Как	Рады приветствовать Вас на нашем сайте!
1	Добрый жень	Рады приветствовать Вас на нашем сайте!
1	Добрый дегь	Рады приветствовать Вас на нашем сайте!
1	Добрый дент	Рады приветствовать Вас на нашем сайте!
1	Добрвй день	Рады приветствовать Вас на нашем сайте!
1	Добрый дено	Рады приветствовать Вас на нашем сайте!
1	Добрый утро	Рады приветствовать Вас на нашем сайте!
1	Добрым день	Рады приветствовать Вас на нашем сайте!
1	Добрый ечер	Рады приветствовать Вас на нашем сайте!
1	Доброе день	Рады приветствовать Вас на нашем сайте!
1	Добрыйтдень	Рады приветствовать Вас на нашем сайте!
1	Доброй ночи	Рады приветствовать Вас на нашем сайте!
1	Добрый лень	Рады приветствовать Вас на нашем сайте!
1	Добрsй день	Рады приветствовать Вас на нашем сайте!
1	Добрйы день	Рады приветствовать Вас на нашем сайте!
1	Добрый денб	Рады приветствовать Вас на нашем сайте!
1	Добры денть	Рады приветствовать Вас на нашем сайте!
1	Добрые день	Рады приветствовать Вас на нашем сайте!
1	Доброе уиро	Рады приветствовать Вас на нашем сайте!
1	Добрых день	Рады приветствовать Вас на нашем сайте!
1	Добрый1день	Рады приветствовать Вас на нашем сайте!
1	Добрый тень	Рады приветствовать Вас на нашем сайте!
1	Добрый веер	Рады приветствовать Вас на нашем сайте!
1	Добрый пень	Рады приветствовать Вас на нашем сайте!
1	Добрый еднь	Рады приветствовать Вас на нашем сайте!
1	Доброе утор	Рады приветствовать Вас на нашем сайте!
1	Добрый деь1	Рады приветствовать Вас на нашем сайте!
1	Добрый дннь	Рады приветствовать Вас на нашем сайте!
1	Добрй вечер	Рады приветствовать Вас на нашем сайте!
1	Добрый ltym	Рады приветствовать Вас на нашем сайте!
1	Добрый ночи	Рады приветствовать Вас на нашем сайте!
1	Доброго вам	Рады приветствовать Вас на нашем сайте!
1	Доброй нови	Рады приветствовать Вас на нашем сайте!
1	Добрай день	Рады приветствовать Вас на нашем сайте!
1	Добрыйф ден	Рады приветствовать Вас на нашем сайте!
1	Добрый деть	Рады приветствовать Вас на нашем сайте!
1	Добрыц день	Рады приветствовать Вас на нашем сайте!
1	Добрый дань	Рады приветствовать Вас на нашем сайте!
1	Добрый денm	Рады приветствовать Вас на нашем сайте!
1	Добрій день	Рады приветствовать Вас на нашем сайте!
1	Добрый вече	Рады приветствовать Вас на нашем сайте!
1	Добрый днеь	Рады приветствовать Вас на нашем сайте!
1	Добрый дкнь	Рады приветствовать Вас на нашем сайте!
1	Добрвц день	Рады приветствовать Вас на нашем сайте!
1	Добрый вечр	Рады приветствовать Вас на нашем сайте!
1	Доброе уьро	Рады приветствовать Вас на нашем сайте!
1	Доброго все	Рады приветствовать Вас на нашем сайте!
1	Добрый деню	Рады приветствовать Вас на нашем сайте!
1	Доброй день	Рады приветствовать Вас на нашем сайте!
1	Доброу утро	Рады приветствовать Вас на нашем сайте!
1	Добрый Как	Рады приветствовать Вас на нашем сайте!
1	Доброго ня	Рады приветствовать Вас на нашем сайте!
1	Добрыйдень	Рады приветствовать Вас на нашем сайте!
1	Доброе уро	Рады приветствовать Вас на нашем сайте!
1	Добры день	Рады приветствовать Вас на нашем сайте!
1	Добрй день	Рады приветствовать Вас на нашем сайте!
1	Добрый днь	Рады приветствовать Вас на нашем сайте!
1	Добрый деь	Рады приветствовать Вас на нашем сайте!
1	Добрый ден	Рады приветствовать Вас на нашем сайте!
1	Доброу тро	Рады приветствовать Вас на нашем сайте!
1	Добро утро	Рады приветствовать Вас на нашем сайте!
1	Добрый час	Рады приветствовать Вас на нашем сайте!
1	Добрыйден1	Рады приветствовать Вас на нашем сайте!
1	Добрый ень	Рады приветствовать Вас на нашем сайте!
1	Доброгодня	Рады приветствовать Вас на нашем сайте!
1	Доброг дня	Рады приветствовать Вас на нашем сайте!
1	Доброе утр	Рады приветствовать Вас на нашем сайте!
1	Доброеутро	Рады приветствовать Вас на нашем сайте!
1	Добрый дже	Рады приветствовать Вас на нашем сайте!
1	Добре утро	Рады приветствовать Вас на нашем сайте!
1	Доброй ноч	Рады приветствовать Вас на нашем сайте!
1	Добрый дке	Рады приветствовать Вас на нашем сайте!
1	Доброе дня	Рады приветствовать Вас на нашем сайте!
1	Добрый лен	Рады приветствовать Вас на нашем сайте!
1	Добр вечер	Рады приветствовать Вас на нашем сайте!
1	Добрый де	Рады приветствовать Вас на нашем сайте!
1	Добр утро	Рады приветствовать Вас на нашем сайте!
1	Добр день	Рады приветствовать Вас на нашем сайте!
1	Добрый За	Рады приветствовать Вас на нашем сайте!
1	Добрый жС	Рады приветствовать Вас на нашем сайте!
1	Добрый дн	Рады приветствовать Вас на нашем сайте!
1	Доброе у	Рады приветствовать Вас на нашем сайте!
1	Добрый Д	Рады приветствовать Вас на нашем сайте!
1	Добрый в	Рады приветствовать Вас на нашем сайте!
1	Добрый а	Рады приветствовать Вас на нашем сайте!
1	Добрый р	Рады приветствовать Вас на нашем сайте!
1	Доброго	Рады приветствовать Вас на нашем сайте!
1	вДобрый	Рады приветствовать Вас на нашем сайте!
1	Добрый1	Рады приветствовать Вас на нашем сайте!
1	Добры й	Рады приветствовать Вас на нашем сайте!
1	Добровы	Рады приветствовать Вас на нашем сайте!
1	Привет	Рады приветствовать Вас на нашем сайте!
1	Добрый	Рады приветствовать Вас на нашем сайте!
1	Доброе	Рады приветствовать Вас на нашем сайте!
1	Доброй	Рады приветствовать Вас на нашем сайте!
1	Добрв	Рады приветствовать Вас на нашем сайте!
1	Добры	Рады приветствовать Вас на нашем сайте!
1	Добр	Рады приветствовать Вас на нашем сайте!
